Growth..1991...2001.,Number.of.households,Sex.ratio..females.per.1000.males.,Sex.ratio..0.6.years.,Data.without.level,Below.Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Main.workers,Marginal.workers,Drinking.water.facilities,Safe.Drinking.water,Electricity..Power.Supply.,Electricity..domestic.,Electricity..Agriculture.,Medical.facility,Primary.Health.Centre,Primary.Health.Sub.Centre,Post..telegraph.and.telephone.facility,Bus.services,Paved.approach.road,Persons,Primary.school,Middle.schools,Secondary.Sr.Secondary.schools,College,Persons..literate
24.2,507320,980,940,57138,385658,401426,291887,239948,72064,679114,353406,2484,2483,1955,742,NA,621,53,67,1019,125,1528,3214832,1713,427,133,32,1448422
29.55,385525,867,969,59540,202872,180251,98848,94105,30157,632957,211363,1189,1189,587,413,142,352,28,48,411,100,544,2381072,936,177,67,7,665826
27.3,189968,862,941,33104,92362,85177,53384,44076,10077,338879,147596,672,672,352,255,123,328,11,20,179,45,305,1176391,577,67,24,4,318353
23.08,256300,895,960,33743,150287,130160,68865,63201,18324,501620,212439,996,995,607,490,104,330,18,32,308,103,487,1682350,794,120,25,5,464587
25.46,429606,906,951,52860,264319,263721,164966,160639,42611,697223,241871,1813,1813,1065,659,NA,474,25,31,806,45,842,2765586,1307,252,54,13,949342
26.78,307765,948,963,42382,225046,195334,96690,96297,22990,493431,283056,2322,2320,1066,827,NA,402,25,51,345,86,1081,2040085,1172,194,59,8,678900
22.69,315309,938,938,42684,241829,227708,158454,165101,44900,483455,251721,3092,3092,1680,1085,NA,362,28,41,349,91,1331,2084814,1192,237,117,13,880827
23.64,209122,974,940,26910,171503,166682,96863,91256,20153,295045,194025,1555,1551,1045,784,NA,262,14,25,250,52,832,1420226,691,148,49,6,573384
29.27,334687,934,957,58490,245436,208643,130154,127993,29119,479400,371113,1189,1188,862,676,NA,311,25,42,410,92,730,2173878,859,174,68,10,799890
23.44,555775,960,933,49969,439965,417463,344819,403787,142000,692824,443471,2823,2823,1947,1252,NA,509,43,81,810,79,1603,3769456,1635,453,180,22,1798769
28.17,427910,963,954,44006,303093,277443,193620,213155,51110,574887,415236,1561,1560,1055,853,141,418,34,48,364,120,923,2893196,1224,243,107,26,1082779
25.03,379407,1002,947,45017,320758,293746,241401,313605,73776,465463,308439,1985,1985,1565,1038,NA,514,33,53,563,154,1206,2712650,1389,336,180,18,1288320
26.28,542994,1020,949,95354,481703,488064,301696,335005,88331,770269,429573,3702,3699,3223,782,NA,543,38,52,1013,243,2149,3939916,1753,432,169,30,1790357
27.91,250586,986,945,35732,240832,230309,151200,209941,51432,396864,202536,1458,1458,1378,387,NA,292,24,28,503,58,1000,1853997,849,252,88,12,919974
21.67,380008,953,942,50873,278437,290499,242750,356292,79805,504543,289892,1795,1793,1550,682,NA,457,39,49,538,215,1070,2761620,1056,316,145,8,1298700
21.67,549264,1014,930,130942,489839,474457,320040,353792,102382,789047,426468,3266,3264,2726,930,NA,621,30,46,873,191,2009,3911679,1919,539,256,40,1871674
26.18,426203,976,934,49690,358774,339108,271095,343199,83003,647379,306133,2597,2597,2283,851,NA,493,32,68,504,369,1317,3037582,1308,393,286,20,1444871
28.63,234574,922,936,22354,187013,183781,152196,190941,48931,339953,187680,1370,1363,927,530,NA,282,21,28,341,194,878,1643251,748,231,54,15,785284
25.51,430651,903,919,66079,397747,383652,276666,402220,167979,770799,211255,1268,1268,1198,274,NA,362,35,47,543,166,957,3138671,778,285,134,22,1694405
25.47,161865,917,915,19532,174634,167649,106412,125670,31499,271578,117056,1082,1082,971,413,NA,229,13,16,489,48,825,1353705,502,154,51,2,625404
27.62,305151,897,928,25322,257429,238563,165779,192266,55604,498926,215813,1731,1726,1198,673,NA,318,36,54,659,162,1002,2116042,1096,207,67,12,935101
36.13,251463,898,956,18763,158654,149164,96190,110600,37862,360180,177755,1342,1340,555,456,NA,207,17,24,265,114,566,1463519,744,139,51,8,571318
22.72,55558,941,942,4387,40355,40229,33196,30629,12283,114842,21062,675,656,570,557,4,106,8,20,195,188,194,295013,557,238,97,3,161161
13.51,76121,1016,934,7880,51642,66405,49191,45880,16250,96900,67829,1139,1116,883,870,8,147,8,6,357,212,204,370359,804,274,135,7,237354
13.44,47539,1115,953,2261,33501,39973,31298,25639,8386,76068,25965,654,648,593,534,11,143,5,10,255,231,206,227439,468,189,116,3,141078
16.15,117754,1049,927,4730,86479,86609,65227,71619,23069,181205,83510,1729,1519,1275,1255,NA,202,10,23,377,295,246,604747,1115,381,118,7,337816
24.71,239975,887,894,16937,153390,177169,149514,241917,137075,336504,63971,723,696,640,530,22,334,27,43,317,226,319,1282143,556,212,129,5,876441
3.87,149987,1106,929,5655,93020,117782,96994,112562,35643,171647,98224,3070,2853,2185,2051,21,392,19,18,580,634,366,697078,1549,483,190,12,461675
10.92,98514,1031,902,3921,68019,82525,65813,58872,17190,124062,74647,1564,1496,1159,1141,8,190,10,27,405,185,249,462289,821,275,124,8,296362
17.56,51949,1105,929,2747,38197,43314,33283,25892,5029,85613,33231,842,738,627,567,11,101,7,11,189,94,143,249462,483,128,76,1,148464
3.14,131052,1146,932,7012,90912,112370,85177,75309,21832,204649,87533,2165,2045,1791,1505,14,260,18,35,500,330,357,630567,1238,291,183,6,392640
9.21,43902,1021,934,1605,35900,39247,25803,21073,6311,56165,34043,649,574,395,379,7,67,11,13,168,60,147,224542,347,107,37,2,129947
32.88,142113,906,910,7442,105127,123772,93046,121368,57934,220995,57952,1074,1030,992,862,114,215,20,26,566,192,558,762909,645,278,91,7,508731
27.79,208076,902,913,19431,175226,168433,116119,130102,49692,300141,92015,669,658,646,250,NA,186,18,28,504,180,595,1235614,485,183,73,6,659165
26.3,240702,865,862,25424,185122,177673,133232,163777,69461,353556,71707,494,489,444,109,NA,296,23,30,321,126,448,1447187,422,120,42,5,754948
23.54,318737,937,961,26105,293918,238539,184564,192799,71644,478851,90591,633,554,391,377,8,395,27,141,281,252,385,1609172,472,161,90,3,1008288
21.52,688139,942,969,36191,726663,450354,294751,230179,70820,1025433,277703,741,732,524,462,NA,570,47,181,439,395,496,3401173,700,181,128,3,1810083
14.15,517878,949,963,23424,592743,365660,210694,153907,40012,754311,212394,1138,1137,583,537,26,758,40,203,323,337,519,2479155,922,184,159,3,1386965
